Hour,Count
9/12/2014 9,1394
9/12/2014 10,1358
9/12/2014 11,1284
9/12/2014 12,1321
9/12/2014 13,1545
9/12/2014 14,1717
9/12/2014 15,2068
9/12/2014 16,2328
9/12/2014 17,2692
9/12/2014 18,2915
9/12/2014 19,2890
9/12/2014 20,2542
9/12/2014 21,2710
9/12/2014 22,2778
9/12/2014 23,2418
9/13/2014 0,1816
9/13/2014 1,1219
9/13/2014 2,783
9/13/2014 3,527
9/13/2014 4,363
9/13/2014 5,409
9/13/2014 6,489
9/13/2014 7,660
9/13/2014 8,934
9/13/2014 9,1062
9/13/2014 10,1301
9/13/2014 11,1458
9/13/2014 12,1523
9/13/2014 13,1794
9/13/2014 14,2733
9/13/2014 15,3056
9/13/2014 16,3024
9/13/2014 17,3023
9/13/2014 18,3437
9/13/2014 19,3332
9/13/2014 20,2601
9/13/2014 21,2625
9/13/2014 22,2577
9/13/2014 23,2459
9/14/2014 0,1804
9/14/2014 1,1261
9/14/2014 2,877
9/14/2014 3,550
9/14/2014 4,365
9/14/2014 5,383
9/14/2014 6,419
9/14/2014 7,566
9/14/2014 8,770
9/14/2014 9,969
9/14/2014 10,1123
9/14/2014 11,1359
9/14/2014 12,1323
9/14/2014 13,1512
9/14/2014 14,1587
9/14/2014 15,1786
9/14/2014 16,1903
9/14/2014 17,1870
9/14/2014 18,1796
9/14/2014 19,1624
9/14/2014 20,1521
9/14/2014 21,1237
9/14/2014 22,1012
9/14/2014 23,505
9/15/2014 0,257
9/15/2014 1,172
9/15/2014 2,158
9/15/2014 3,346
9/15/2014 4,571
9/15/2014 5,883
9/15/2014 6,1357
9/15/2014 7,1694
9/15/2014 8,1706
9/15/2014 9,1249
9/15/2014 10,1032
9/15/2014 11,1055
9/15/2014 12,1060
9/15/2014 13,1277
9/15/2014 14,1454
9/15/2014 15,1766
9/15/2014 16,2186
9/15/2014 17,2348
9/15/2014 18,2155
9/15/2014 19,1910
9/15/2014 20,1847
9/15/2014 21,1378
9/15/2014 22,1020
9/15/2014 23,573
9/16/2014 0,268
9/16/2014 1,139
9/16/2014 2,125
9/16/2014 3,220
9/16/2014 4,370
9/16/2014 5,797
9/16/2014 6,1668
9/16/2014 7,2308
9/16/2014 8,2511
9/16/2014 9,2021
9/16/2014 10,1804
9/16/2014 11,1360
9/16/2014 12,1265
9/16/2014 13,1407
9/16/2014 14,1757
9/16/2014 15,2129
9/16/2014 16,2542
9/16/2014 17,2744
9/16/2014 18,2582
9/16/2014 19,2279
9/16/2014 20,2123
9/16/2014 21,1793
9/16/2014 22,1233
9/16/2014 23,647
9/17/2014 0,363
9/17/2014 1,204
9/17/2014 2,156
9/17/2014 3,257
9/17/2014 4,437
9/17/2014 5,774
9/17/2014 6,1553
9/17/2014 7,1963
9/17/2014 8,1675
9/17/2014 9,1283
9/17/2014 10,1235
9/17/2014 11,1195
9/17/2014 12,1312
9/17/2014 13,1557
9/17/2014 14,1768
9/17/2014 15,2154
9/17/2014 16,2519
9/17/2014 17,2750
9/17/2014 18,2764
9/17/2014 19,2511
9/17/2014 20,2479
9/17/2014 21,2168
9/17/2014 22,1617
9/17/2014 23,837
9/18/2014 0,408
9/18/2014 1,242
9/18/2014 2,168
9/18/2014 3,273
9/18/2014 4,455
9/18/2014 5,857
9/18/2014 6,1439
9/18/2014 7,1914
9/18/2014 8,1820
9/18/2014 9,1349
9/18/2014 10,1280
9/18/2014 11,1319
9/18/2014 12,1303
9/18/2014 13,1603
9/18/2014 14,1866
9/18/2014 15,2272
9/18/2014 16,2685
9/18/2014 17,3133
9/18/2014 18,3225
9/18/2014 19,3206
9/18/2014 20,2877
9/18/2014 21,2836
9/18/2014 22,2271
9/18/2014 23,1473
9/19/2014 0,656
9/19/2014 1,432
9/19/2014 2,268
9/19/2014 3,374
9/19/2014 4,467
9/19/2014 5,784
9/19/2014 6,1403
9/19/2014 7,1799
9/19/2014 8,1770
9/19/2014 9,1380
9/19/2014 10,1322
9/19/2014 11,1307
9/19/2014 12,1356
9/19/2014 13,1570
9/19/2014 14,1919
9/19/2014 15,2267
9/19/2014 16,2510
9/19/2014 17,2896
9/19/2014 18,3210
9/19/2014 19,2936
9/19/2014 20,2625
9/19/2014 21,2758
9/19/2014 22,2709
9/19/2014 23,2299
9/20/2014 0,1701
9/20/2014 1,1164
9/20/2014 2,717
9/20/2014 3,499
9/20/2014 4,386
9/20/2014 5,373
9/20/2014 6,547
9/20/2014 7,741
9/20/2014 8,906
9/20/2014 9,1114
9/20/2014 10,1269
9/20/2014 11,1434
9/20/2014 12,1532
9/20/2014 13,1672
9/20/2014 14,1977
9/20/2014 15,2157
9/20/2014 16,2453
9/20/2014 17,2660
9/20/2014 18,2675
9/20/2014 19,2666
9/20/2014 20,2452
9/20/2014 21,2522
9/20/2014 22,2653
9/20/2014 23,2594
9/21/2014 0,2443
9/21/2014 1,2025
9/21/2014 2,1164
9/21/2014 3,583
9/21/2014 4,379
9/21/2014 5,400
9/21/2014 6,432
9/21/2014 7,561
9/21/2014 8,723
9/21/2014 9,932
9/21/2014 10,1122
9/21/2014 11,1258
9/21/2014 12,1348
9/21/2014 13,1474
9/21/2014 14,1549
9/21/2014 15,1565
9/21/2014 16,1683
9/21/2014 17,1654
9/21/2014 18,1684
9/21/2014 19,1530
9/21/2014 20,1378
9/21/2014 21,1230
9/21/2014 22,932
9/21/2014 23,571
9/22/2014 0,277
9/22/2014 1,165
9/22/2014 2,149
9/22/2014 3,346
9/22/2014 4,550
9/22/2014 5,943
9/22/2014 6,1357
9/22/2014 7,1671
9/22/2014 8,1606
9/22/2014 9,1186
9/22/2014 10,1135
9/22/2014 11,1069
9/22/2014 12,1048
9/22/2014 13,1201
9/22/2014 14,1391
9/22/2014 15,1643
9/22/2014 16,1879
9/22/2014 17,1943
9/22/2014 18,1934
9/22/2014 19,1801
9/22/2014 20,1740
9/22/2014 21,1550
9/22/2014 22,1072
9/22/2014 23,656
9/23/2014 0,332
9/23/2014 1,175
9/23/2014 2,125
9/23/2014 3,231
